INCIDENT_ID_KS,KS_COMPLEX_NAME,COMPLEX_FLAG,LTFS_DAY,LTFS_FIRE,REPORT_YEAR,INCIDENT_NUMBER,ST_INCNUM,REPORT_DATE,REPORT_DOY,HOUR,INCIDENT_NAME,START_YEAR,START_DATE,START_DOY,START_DATE_CORRECTED,START_DOY_CORRECTED,STATUS,AREA,AREA_MEASUREMENT,TYPE_INC,SUPPRESSION_METHOD,IC_NAME,IMT_TYPE,IMT_TYPE_DESCRIPTION,CAUSE,CAUSE_DESCR,COUNTY,LATITUDE,LONGITUDE,LL_QC,UN_USTATE,UN_UNITID,NWCG_UNITID,GACC,UnitType,Department,Agency,OWNERSHIP_STATE,OWNERSHIP_UNITID,P_CONTAIN,PERCENT_MMA,EXP_CONTAIN,LINE_TO_BUILD,LINE_MEASUREMENT,EST_CONTROL,DEMOBE_START,CONTROLLED_DATE,INJURIES_TO_DATE,INJURIES,FATALITIES,EVACUATION_IN_PROGRESS,NO_EVACUATION,POTENTIAL,NO_LIKELY,C_WIND_SPEED,C_WIND_DIRECTION,C_TEMP,C_RH,F_WIND_SPEED,F_WIND_DIRECTION,F_TEMP,F_RH,PRIMARY_FUEL_MODEL,GROWTH_POTENTIAL,TERRAIN,GACC_PRIORITY,DISPATCH_PRIORITY,FAT,UNIT_TYPE,ST_INC,ST_UNIT
2008_ID-CTF-008008_FLAG KNOLL,NA,NA,1,NA,2008,ID-CTF-008008,ID,24-Jul-08,206,1517,FLAG KNOLL,2008,21-Jul-08,203,21-Jul-08,203,I,2,ACRES,WFU,NA,Johnston,B,FUM2,L,Lightning,Bonneville,43.276667,111.465,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,0,P,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,158,SW,151,67,210,SW,275,121,8,Low,Low,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008008_FLAG KNOLL,NA,NA,1,NA,2008,ID-CTF-008008,ID,28-Jul-08,210,1639,FLAG KNOLL,2008,21-Jul-08,203,21-Jul-08,203,U,190,ACRES,WFU,NA,Johnston,B,FUM2,L,Lightning,Bonneville,43.276667,111.465,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,P,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,55,SW,144,54,NA,NA,NA,NA,8,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008008_FLAG KNOLL,NA,NA,1,NA,2008,ID-CTF-008008,ID,29-Jul-08,211,1715,FLAG KNOLL,2008,21-Jul-08,203,21-Jul-08,203,U,250,ACRES,WFU,NA,Johnston,B,FUM2,L,Lightning,Bonneville,43.276667,111.465,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,129,SW,144,54,442,SW,287,101,8,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008008_FLAG KNOLL,NA,NA,1,NA,2008,ID-CTF-008008,ID,30-Jul-08,212,1810,FLAG KNOLL,2008,21-Jul-08,203,21-Jul-08,203,U,350,ACRES,WFU,NA,Johnston,B,FUM2,L,Lightning,Bonneville,43.276667,111.465,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,129,SW,124,60,405,SW,303,5,8,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008008_FLAG KNOLL,NA,NA,1,NA,2008,ID-CTF-008008,ID,1-Aug-08,214,1730,FLAG KNOLL,2008,21-Jul-08,203,21-Jul-08,203,U,435,ACRES,WFU,NA,Johnston,B,FUM2,L,Lightning,Bonneville,43.276667,111.465,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,Y,129,SW,162,85,405,SW,311,153,8,Medium,Medium,NA,2,0,Federal,ID,ID
2008_ID-CTF-008008_FLAG KNOLL,NA,NA,1,NA,2008,ID-CTF-008008,ID,5-Aug-08,218,1818,FLAG KNOLL,2008,21-Jul-08,203,21-Jul-08,203,U,523,ACRES,WFU,NA,Johnston,B,FUM2,L,Lightning,Bonneville,43.276667,111.465,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,NA,0,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,8,Medium,Medium,NA,2,0,Federal,ID,ID
2008_ID-CTF-008008_FLAG KNOLL,NA,NA,1,NA,2008,ID-CTF-008008,ID,8-Aug-08,221,1700,FLAG KNOLL,2008,21-Jul-08,203,21-Jul-08,203,U,520,ACRES,WFU,NA,Kidd,B,FUM2,L,Lightning,Bonneville,43.276667,111.465,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,2,1,0,N,N,N,Y,322,NNE,105,63,392,SW,287,229,8,Medium,Medium,NA,5,0,Federal,ID,ID
2008_ID-CTF-008008_FLAG KNOLL,NA,NA,1,NA,2008,ID-CTF-008008,ID,12-Nov-08,317,1248,FLAG KNOLL,2008,21-Jul-08,203,21-Jul-08,203,F,536,ACRES,WFU,NA,Spencer Johnston,B,FUM2,L,Lightning,Bonneville,43.276667,111.465,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,10-Nov-08,2,NA,0,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,8,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008019_SNOWDRIFT WFU,NA,NA,1,NA,2008,ID-CTF-008019,ID,23-Sep-08,267,1537,SNOWDRIFT WFU,2008,21-Sep-08,265,21-Sep-08,265,I,0,ACRES,WFU,NA,Dylan Johnson,B,FUM2,L,Lightning,Caribou,42.524722,111.227222,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Federal,ID,ID
2008_ID-CTF-008019_SNOWDRIFT WFU,NA,NA,1,NA,2008,ID-CTF-008019,ID,9-Oct-08,283,1600,SNOWDRIFT WFU,2008,21-Sep-08,265,21-Sep-08,265,F,NA,ACRES,WFU,NA,Dylan Johnson,B,FUM2,L,Lightning,Caribou,42.524722,111.227222,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,P,NA,NA,NA,NA,NA,9-Oct-08,0,0,0,N,N,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0,Federal,ID,ID
